  螺距  螺旋线内径  夹持杆厚度  频率
0.75   1.19   0.55   6
0.75   1.19   0.55   8
0.75   1.19   0.55  10
0.75   1.19   0.55  12
0.80   1.11   0.47   4
0.80   1.11   0.47   5
0.80   1.11   0.47   6
0.80   1.11   0.47   8
0.80   1.11   0.47  10
0.80   1.11   0.47  12
0.80   1.11   0.49   4
0.80   1.11   0.49   5
0.80   1.11   0.49   6
0.80   1.11   0.49   8
0.80   1.11   0.49  10
0.80   1.11   0.49  12
0.80   1.11   0.51   4
0.80   1.11   0.51   5
0.80   1.11   0.51   6
0.80   1.11   0.51   8
0.80   1.11   0.51  10
0.80   1.11   0.51  12
0.80   1.11   0.53   4
0.80   1.11   0.53   5
0.80   1.11   0.53   6
0.80   1.11   0.53   8
0.80   1.11   0.53  10
0.80   1.11   0.53  12
0.80   1.11   0.55   4
0.80   1.11   0.55   5
0.80   1.11   0.55   6
0.80   1.11   0.55   8
0.80   1.11   0.55  10
0.80   1.11   0.55  12
0.80   1.13   0.47   4
0.80   1.13   0.47   5
0.80   1.13   0.47   6
0.80   1.13   0.47   8
0.80   1.13   0.47  10
0.80   1.13   0.47  12
0.80   1.13   0.49   4
0.80   1.13   0.49   5
0.80   1.13   0.49   6
0.80   1.13   0.49   8
0.80   1.13   0.49  10
0.80   1.13   0.49  12
0.80   1.13   0.51   4
0.80   1.13   0.51   5
0.80   1.13   0.51   6
0.80   1.13   0.51   8
0.80   1.13   0.51  10
0.80   1.13   0.51  12
0.80   1.13   0.53   4
0.80   1.13   0.53   5
0.80   1.13   0.53   6
0.80   1.13   0.53   8
0.80   1.13   0.53  10
0.80   1.13   0.53  12
0.80   1.13   0.55   4
0.80   1.13   0.55   5
0.80   1.13   0.55   6
0.80   1.13   0.55   8
0.80   1.13   0.55  10
0.80   1.13   0.55  12
0.80   1.15   0.47   4
0.80   1.15   0.47   5
0.80   1.15   0.47   6
0.80   1.15   0.47   8
0.80   1.15   0.47  10
0.80   1.15   0.47  12
0.80   1.15   0.49   4
0.80   1.15   0.49   5
0.80   1.15   0.49   6
0.80   1.15   0.49   8
0.80   1.15   0.49  10
0.80   1.15   0.49  12
0.80   1.15   0.51   4
0.80   1.15   0.51   5
0.80   1.15   0.51   6
0.80   1.15   0.51   8
0.80   1.15   0.51  10
0.80   1.15   0.51  12
0.80   1.15   0.53   4
0.80   1.15   0.53   5
0.80   1.15   0.53   6
0.80   1.15   0.53   8
0.80   1.15   0.53  10
0.80   1.15   0.53  12
0.80   1.15   0.55   4
0.80   1.15   0.55   5
0.80   1.15   0.55   6
0.80   1.15   0.55   8
0.80   1.15   0.55  10
0.80   1.15   0.55  12
0.80   1.17   0.47   4
0.80   1.17   0.47   5
0.80   1.17   0.47   6
0.80   1.17   0.47   8
0.80   1.17   0.47  10
0.80   1.17   0.47  12
0.80   1.17   0.49   4
0.80   1.17   0.49   5
0.80   1.17   0.49   6
0.80   1.17   0.49   8
0.80   1.17   0.49  10
0.80   1.17   0.49  12
0.80   1.17   0.51   4
0.80   1.17   0.51   5
0.80   1.17   0.51   6
0.80   1.17   0.51   8
0.80   1.17   0.51  10
0.80   1.17   0.51  12
0.80   1.17   0.53   4
0.80   1.17   0.53   5
0.80   1.17   0.53   6
0.80   1.17   0.53   8
0.80   1.17   0.53  10
0.80   1.17   0.53  12
0.80   1.17   0.55   4
0.80   1.17   0.55   5
0.80   1.17   0.55   6
0.80   1.17   0.55   8
0.80   1.17   0.55  10
0.80   1.17   0.55  12
0.80   1.19   0.47   4
0.80   1.19   0.47   5
0.80   1.19   0.47   6
0.80   1.19   0.47   8
0.80   1.19   0.47  10
0.80   1.19   0.47  12
0.80   1.19   0.49   4
0.80   1.19   0.49   5
0.80   1.19   0.49   6
0.80   1.19   0.49   8
0.80   1.19   0.49  10
0.80   1.19   0.49  12
0.80   1.19   0.51   4
0.80   1.19   0.51   5
0.80   1.19   0.51   6
0.80   1.19   0.51   8
0.80   1.19   0.51  10
0.80   1.19   0.51  12
0.80   1.19   0.53   4
0.80   1.19   0.53   5
0.80   1.19   0.53   6
0.80   1.19   0.53   8
0.80   1.19   0.53  10
0.80   1.19   0.53  12
0.80   1.19   0.55   4
0.80   1.19   0.55   5
0.80   1.19   0.55   6
0.80   1.19   0.55   8
0.80   1.19   0.55  10
0.80   1.19   0.55  12
0.85   1.11   0.47   4
0.85   1.11   0.47   5
0.85   1.11   0.47   6
0.85   1.11   0.47   8
0.85   1.11   0.47  10
0.85   1.11   0.47  12
0.85   1.11   0.49   4
0.85   1.11   0.49   5
0.85   1.11   0.49   6
0.85   1.11   0.49   8
0.85   1.11   0.49  10
0.85   1.11   0.49  12
0.85   1.11   0.51   4
0.85   1.11   0.51   5
0.85   1.11   0.51   6
0.85   1.11   0.51   8
0.85   1.11   0.51  10
0.85   1.11   0.51  12
0.85   1.11   0.53   4
0.85   1.11   0.53   5
0.85   1.11   0.53   6
0.85   1.11   0.53   8
0.85   1.11   0.53  10
0.85   1.11   0.53  12
0.85   1.11   0.55   4
0.85   1.11   0.55   5
0.85   1.11   0.55   6
0.85   1.11   0.55   8
0.85   1.11   0.55  10
0.85   1.11   0.55  12
0.85   1.13   0.47   4
0.85   1.13   0.47   5
0.85   1.13   0.47   6
0.85   1.13   0.47   8
0.85   1.13   0.47  10
0.85   1.13   0.47  12
0.85   1.13   0.49   4
0.85   1.13   0.49   5
0.85   1.13   0.49   6
0.85   1.13   0.49   8
0.85   1.13   0.49  10
0.85   1.13   0.49  12
0.85   1.13   0.51   4
0.85   1.13   0.51   5
0.85   1.13   0.51   6
0.85   1.13   0.51   8
0.85   1.13   0.51  10
0.85   1.13   0.51  12
0.85   1.13   0.53   4
0.85   1.13   0.53   5
0.85   1.13   0.53   6
0.85   1.13   0.53   8
0.85   1.13   0.53  10
0.85   1.13   0.53  12
0.85   1.13   0.55   4
0.85   1.13   0.55   5
0.85   1.13   0.55   6
0.85   1.13   0.55   8
0.85   1.13   0.55  10
0.85   1.13   0.55  12
0.85   1.15   0.47   4
0.85   1.15   0.47   5
0.85   1.15   0.47   6
0.85   1.15   0.47   8
0.85   1.15   0.47  10
0.85   1.15   0.47  12
0.85   1.15   0.49   4
0.85   1.15   0.49   5
0.85   1.15   0.49   6
0.85   1.15   0.49   8
0.85   1.15   0.49  10
0.85   1.15   0.49  12
0.85   1.15   0.51   4
0.85   1.15   0.51   5
0.85   1.15   0.51   6
0.85   1.15   0.51   8
0.85   1.15   0.51  10
0.85   1.15   0.51  12
0.85   1.15   0.53   4
0.85   1.15   0.53   5
0.85   1.15   0.53   6
0.85   1.15   0.53   8
0.85   1.15   0.53  10
0.85   1.15   0.53  12
0.85   1.15   0.55   4
0.85   1.15   0.55   5
0.85   1.15   0.55   6
0.85   1.15   0.55   8
0.85   1.15   0.55  10
0.85   1.15   0.55  12
0.85   1.17   0.47   4
0.85   1.17   0.47   5
0.85   1.17   0.47   6
0.85   1.17   0.47   8
0.85   1.17   0.47  10
0.85   1.17   0.47  12
0.85   1.17   0.49   4
0.85   1.17   0.49   5
0.85   1.17   0.49   6
0.85   1.17   0.49   8
0.85   1.17   0.49  10
0.85   1.17   0.49  12
0.85   1.17   0.51   4
0.85   1.17   0.51   5
0.85   1.17   0.51   6
0.85   1.17   0.51   8
0.85   1.17   0.51  10
0.85   1.17   0.51  12
0.85   1.17   0.53   4
0.85   1.17   0.53   5
0.85   1.17   0.53   6
0.85   1.17   0.53   8
0.85   1.17   0.53  10
0.85   1.17   0.53  12
0.85   1.17   0.55   4
0.85   1.17   0.55   5
0.85   1.17   0.55   6
0.85   1.17   0.55   8
0.85   1.17   0.55  10
0.85   1.17   0.55  12
0.85   1.19   0.47   4
0.85   1.19   0.47   5
0.85   1.19   0.47   6
0.85   1.19   0.47   8
0.85   1.19   0.47  10
0.85   1.19   0.47  12
0.85   1.19   0.49   4
0.85   1.19   0.49   5
0.85   1.19   0.49   6
0.85   1.19   0.49   8
0.85   1.19   0.49  10
0.85   1.19   0.49  12
0.85   1.19   0.51   4
0.85   1.19   0.51   5
0.85   1.19   0.51   6
0.85   1.19   0.51   8
0.85   1.19   0.51  10
0.85   1.19   0.51  12
0.85   1.19   0.53   4
0.85   1.19   0.53   5
0.85   1.19   0.53   6
0.85   1.19   0.53   8
0.85   1.19   0.53  10
0.85   1.19   0.53  12
0.85   1.19   0.55   4
0.85   1.19   0.55   5
0.85   1.19   0.55   6
0.85   1.19   0.55   8
0.85   1.19   0.55  10
0.85   1.19   0.55  12
0.90   1.11   0.47   4
0.90   1.11   0.47   5
0.90   1.11   0.47   6
0.90   1.11   0.47   8
0.90   1.11   0.47  10
0.90   1.11   0.47  12
0.90   1.11   0.49   4
0.90   1.11   0.49   5
0.90   1.11   0.49   6
0.90   1.11   0.49   8
0.90   1.11   0.49  10
0.90   1.11   0.49  12
0.90   1.11   0.51   4
0.90   1.11   0.51   5
0.90   1.11   0.51   6
0.90   1.11   0.51   8
0.90   1.11   0.51  10
0.90   1.11   0.51  12
0.90   1.11   0.53   4
0.90   1.11   0.53   5
0.90   1.11   0.53   6
0.90   1.11   0.53   8
0.90   1.11   0.53  10
0.90   1.11   0.53  12
0.90   1.11   0.55   4
0.90   1.11   0.55   5
0.90   1.11   0.55   6
0.90   1.11   0.55   8
0.90   1.11   0.55  10
0.90   1.11   0.55  12
0.90   1.13   0.47   4
0.90   1.13   0.47   5
0.90   1.13   0.47   6
0.90   1.13   0.47   8
0.90   1.13   0.47  10
0.90   1.13   0.47  12
0.90   1.13   0.49   4
0.90   1.13   0.49   5
0.90   1.13   0.49   6
0.90   1.13   0.49   8
0.90   1.13   0.49  10
0.90   1.13   0.49  12
0.90   1.13   0.51   4
0.90   1.13   0.51   5
0.90   1.13   0.51   6
0.90   1.13   0.51   8
0.90   1.13   0.51  10
0.90   1.13   0.51  12
0.90   1.13   0.53   4
0.90   1.13   0.53   5
0.90   1.13   0.53   6
0.90   1.13   0.53   8
0.90   1.13   0.53  10
0.90   1.13   0.53  12
0.90   1.13   0.55   4
0.90   1.13   0.55   5
0.90   1.13   0.55   6
0.90   1.13   0.55   8
0.90   1.13   0.55  10
0.90   1.13   0.55  12
0.90   1.15   0.47   4
0.90   1.15   0.47   5
0.90   1.15   0.47   6
0.90   1.15   0.47   8
0.90   1.15   0.47  10
0.90   1.15   0.47  12
0.90   1.15   0.49   4
0.90   1.15   0.49   5
0.90   1.15   0.49   6
0.90   1.15   0.49   8
0.90   1.15   0.49  10
0.90   1.15   0.49  12
0.90   1.15   0.51   4
0.90   1.15   0.51   5
0.90   1.15   0.51   6
0.90   1.15   0.51   8
0.90   1.15   0.51  10
0.90   1.15   0.51  12
0.90   1.15   0.53   4
0.90   1.15   0.53   5
0.90   1.15   0.53   6
0.90   1.15   0.53   8
0.90   1.15   0.53  10
0.90   1.15   0.53  12
0.90   1.15   0.55   4
0.90   1.15   0.55   5
0.90   1.15   0.55   6
0.90   1.15   0.55   8
0.90   1.15   0.55  10
0.90   1.15   0.55  12
0.90   1.17   0.47   4
0.90   1.17   0.47   5
0.90   1.17   0.47   6
0.90   1.17   0.47   8
0.90   1.17   0.47  10
0.90   1.17   0.47  12
0.90   1.17   0.49   4
0.90   1.17   0.49   5
0.90   1.17   0.49   6
0.90   1.17   0.49   8
0.90   1.17   0.49  10
0.90   1.17   0.49  12
0.90   1.17   0.51   4
0.90   1.17   0.51   5
0.90   1.17   0.51   6
0.90   1.17   0.51   8
0.90   1.17   0.51  10
0.90   1.17   0.51  12
0.90   1.17   0.53   4
0.90   1.17   0.53   5
0.90   1.17   0.53   6
0.90   1.17   0.53   8
0.90   1.17   0.53  10
0.90   1.17   0.53  12
0.90   1.17   0.55   4
0.90   1.17   0.55   5
0.90   1.17   0.55   6
0.90   1.17   0.55   8
0.90   1.17   0.55  10
0.90   1.17   0.55  12
0.90   1.19   0.47   4
0.90   1.19   0.47   5
0.90   1.19   0.47   6
0.90   1.19   0.47   8
0.90   1.19   0.47  10
0.90   1.19   0.47  12
0.90   1.19   0.49   4
0.90   1.19   0.49   5
0.90   1.19   0.49   6
0.90   1.19   0.49   8
0.90   1.19   0.49  10
0.90   1.19   0.49  12
0.90   1.19   0.51   4
0.90   1.19   0.51   5
0.90   1.19   0.51   6
0.90   1.19   0.51   8
0.90   1.19   0.51  10
0.90   1.19   0.51  12
0.90   1.19   0.53   4
0.90   1.19   0.53   5
0.90   1.19   0.53   6
0.90   1.19   0.53   8
0.90   1.19   0.53  10
0.90   1.19   0.53  12
0.90   1.19   0.55   4
0.90   1.19   0.55   5
0.90   1.19   0.55   6
0.90   1.19   0.55   8
0.90   1.19   0.55  10
0.90   1.19   0.55  12
